Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10001_001,SE_A18009_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
"060379001500394800324","08000US060379001500394800324","Census Tract 8003.24 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.24 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004872",,,,,"06","037","90015","00394","0600394","800324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242,2310,3271,2993,2680,313,18,0,0,12,25,223,91.5,81.93,9.57,0.55,0,0,0.37,0.76,6.82
"060379001500394800326","08000US060379001500394800326","Census Tract 8003.26 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.26 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004873",,,,,"06","037","90015","00394","0600394","800326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,2162,249,249,198,51,0,0,0,0,0,0,100,79.52,20.48,0,0,0,0,0,0
"060379001500394800327","08000US060379001500394800327","Census Tract 8003.27, Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.27, Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004874",,,,,"06","037","90015","00394","0600394","800327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257,2310,2647,2261,2053,208,85,28,14,70,23,166,85.42,77.56,7.86,3.21,1.06,0.53,2.64,0.87,6.27
"060379001500394800328","08000US060379001500394800328","Census Tract 8003.28 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.28 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004875",,,,,"06","037","90015","00394","0600394","800328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"060379001500394800329","08000US060379001500394800329","Census Tract 8003.29 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.29 (part), Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004876",,,,,"06","037","90015","00394","0600394","800329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,2015,930,818,800,18,16,0,0,0,0,96,87.96,86.02,1.94,1.72,0,0,0,0,10.32
"060379001500394800332","08000US060379001500394800332","Census Tract 8003.32, Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.32, Agoura Hills city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004877",,,,,"06","037","90015","00394","0600394","800332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2381,2243,3508,3213,3063,150,13,0,0,31,0,251,91.59,87.31,4.28,0.37,0,0,0.88,0,7.16
"060379001509598800102","08000US060379001509598800102","Census Tract 8001.02 (part), Calabasas city (part), Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8001.02 (part), Calabasas city (part), Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004878",,,,,"06","037","90015","09598","0609598","800102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,55,50,50,0,0,0,0,0,0,5,90.91,90.91,0,0,0,0,0,0,9.09
"060379001509598800328","08000US060379001509598800328","Census Tract 8003.28 (part), Calabasas city (part), Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.28 (part), Calabasas city (part), Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004879",,,,,"06","037","90015","09598","0609598","800328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,2154,1075,979,948,31,64,0,0,12,0,20,91.07,88.19,2.88,5.95,0,0,1.12,0,1.86
"060379001509598800329","08000US060379001509598800329","Census Tract 8003.29 (part), Calabasas city (part), Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.29 (part), Calabasas city (part), Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004880",,,,,"06","037","90015","09598","0609598","800329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655,2199,2014,1864,1757,107,29,0,0,18,0,103,92.55,87.24,5.31,1.44,0,0,0.89,0,5.11
"060379001545246800406","08000US060379001545246800406","Census Tract 8004.06 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8004.06 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004881",,,,,"06","037","90015","45246","0645246","800406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,2310,558,381,362,19,10,0,0,41,0,126,68.28,64.87,3.41,1.79,0,0,7.35,0,22.58
