station_data,,,,,,,,,,,,,,,
,LINE,LINENUM,LINENUM2,STNSEQ,STNSEQ2,DIR,STOPNUM,STATION,DATE OPENED,LAT,LONG,TPIS_NAME,POINT_X,POINT_Y,geometry
0,Blue,801,0,21,0,,80101,Downtown Long Beach Station,1990,33.768071,-118.192921,Long Bch,6503030.09486,1738033.82757,POINT (-118.192921 33.768071)
1,Blue,801,0,22,0,North,80102,Pacific Ave Station,1990,33.772258,-118.1937,Pacific,6502796.262,1739558.04998,POINT (-118.1937 33.772258)
2,Blue,801,0,18,0,,80105,Anaheim Street Station,1990,33.78183,-118.189384,Anaheim,6504114.567,1743039.06751,POINT (-118.189384 33.78183)
3,Blue,801,0,17,0,,80106,Pacific Coast Hwy Station,1990,33.78909,-118.189382,PCH,6504120.15234,1745681.17948,POINT (-118.189382 33.78909)
4,Blue,801,0,16,0,,80107,Willow Street Station,1990,33.807079,-118.189834,Willow,6503995.16958,1752228.11853,POINT (-118.189834 33.807079)
5,Blue,801,0,15,0,,80108,Wardlow Station,1990,33.819865,-118.19609,Wardlow,6502103.67901,1756884.92631,POINT (-118.19609 33.819865)
6,Blue,801,0,14,0,,80109,Del Amo Station,1990,33.848222,-118.211017,Del Amo,6497591.22434,1767213.93306,POINT (-118.211017 33.848222)
7,Blue,801,0,13,0,,80110,Artesia Station,1990,33.876082,-118.222503,Artesia,6494125.94235,1777360.37443,POINT (-118.222503 33.876082)
8,Blue,801,0,12,0,,80111,Compton Station,1990,33.89749,-118.224249,Compton,6493613.32654,1785152.416,POINT (-118.224249 33.89749)
9,Blue,801,0,11,0,,80112,Willowbrook - Rosa Parks Station - Metro Blue Line,1990,33.928048,-118.237555,Willwbrk,6489601.61465,1796282.41943,POINT (-118.237555 33.928048)
10,Blue,801,0,10,0,,80113,103rd Street / Watts Towers  Station,1990,33.94222,-118.243159,103rd,6487914.05628,1801443.976,POINT (-118.243159 33.94222)
11,Blue,801,0,9,0,,80114,Firestone Station,1990,33.959611,-118.243205,Firestne,6487915.41724,1807772.95591,POINT (-118.243205 33.959611)
12,Blue,801,0,8,0,,80115,Florence Station,1990,33.97374,-118.243271,Florence,6487907.84725,1812914.83457,POINT (-118.243271 33.97374)
13,Blue,801,0,7,0,,80116,Slauson Station,1990,33.98876,-118.243398,Slauson,6487882.57736,1818381.00528,POINT (-118.243398 33.98876)
14,Blue,801,0,6,0,,80117,Vernon Station,1990,34.00292,-118.243303,Vernon,6487923.84898,1823534.03686,POINT (-118.243303 34.00292)
15,Blue,801,0,5,0,,80118,Washington Station,1990,34.01965,-118.243084,Washngtn,6488004.94945,1829622.24503,POINT (-118.243084 34.01965)
16,Blue,801,0,4,0,,80119,San Pedro Street Station,1990,34.026807,-118.255505,S Pedro,6484247.64372,1832236.14738,POINT (-118.255505 34.026807)
17,Blue,801,0,3,0,,80120,Grand / LATTC Station,1990,34.033155,-118.269333,Grand/LATTC,6480063.90497,1834557.241,POINT (-118.269333 34.033155)
18,Blue/EXPO,801,806,2,11,,80121,Pico Station,1990,34.040735,-118.266118,Pico,6481045.28951,1837313.14901,POINT (-118.266118 34.040735)
19,Blue/EXPO,801,806,1,12,,80122,7th St / Metro Center Station - Metro Blue & Expo Lines,1991,34.04861,-118.258822,7MC,6483263.01257,1840173.23486,POINT (-118.258822 34.04861)
20,EXPO,806,0,3,0,,80123,LATTC / Ortho Institute Station,2012,34.029112,-118.273603,LATTC/Ortho,6478766.175,1833089.41268,POINT (-118.273603 34.029112)
21,EXPO,806,0,4,0,,80124,Jefferson / USC Station,2012,34.022123,-118.278118,Jeff/USC,6477391.11587,1830549.74003,POINT (-118.278118 34.022123)
22,EXPO,806,0,5,0,,80125,Expo Park / USC Station,2012,34.018227,-118.285734,Expo Pk,6475079.28486,1829138.38588,POINT (-118.285734 34.018227)
23,EXPO,806,0,6,0,,80126,Expo / Vermont Station,2012,34.018245,-118.29154,Ex/Vrmnt,6473319.88796,1829149.98865,POINT (-118.29154 34.018245)
